topic,item_oid,question,data_type,option_a,option_b,option_c,option_d,mandatory,condition_oid,condition_expression
Door,I.149,Select the Hinge Location for Single Storefront Door,singleselect,Left Hinge,Right Hinge,,,No,C.90,"!(I.97 == ""1"")"
Door,I.154,Select the size of Double-Wide Storefront Door,singleselect,"Standard Size (72""x84"")",Custom OverSize,Custom UnderSize,,No,C.127,"!(I.97 == ""2"")"
Door,I.155,Enter the Custom length of Double-Wide Storefront Door,integer,,,,,No,C.135,"!(I.154 == ""2"")"
Door,I.156,Enter the Custom height of Double-Wide Storefront Door,integer,,,,,No,C.135,"!(I.154 == ""2"")"
Door,I.157,Enter the Custom length of Double-Wide Storefront Door,integer,,,,,No,C.136,"!(I.154 == ""3"")"
Door,I.158,Enter the Custom height of Double-Wide Storefront Door,integer,,,,,No,C.136,"!(I.154 == ""3"")"
Door,I.164,Select the Active Door Leaf for Double-Wide Storefront Door,singleselect,Left Active,Right Active,,,No,C.127,"!(I.97 == ""2"")"
Door,I.100,Select the type of Sliding Door you prefer,singleselect,Multi-pane sliding (4),Multi-pane sliding (6),,,No,C.92,"!(I.96 == ""2"")"
Door,I.101,Enter the Quantity of Doors,integer,,,,,No,C.93,"!(I.100 == ""1"")"
Door,I.102,Enter the Quantity of Doors,integer,,,,,No,C.94,"!(I.100 == ""2"")"
Door,I.153,Select the type of Storm Door,singleselect,Single Storm Door,Double Storm Door,,,No,C.137,"!(I.96 == ""3"")"
Door,I.165,Do you want panel?,singleselect,Yes,No,,,No,C.138,"!(I.153 == ""1"")"
Door,I.166,Select the Hinge Location for Single storm Door,singleselect,Left Hinge,Right Hinge,,,No,C.138,"!(I.153 == ""1"")"
Door,I.167,Select the size of Double-Wide Storm Door,singleselect,54x76,64x76,,,No,C.139,"!(I.153 == ""2"")"
Door,I.168,Do you want panel?,singleselect,Yes,No,,,No,C.140,"!(I.167 == ""1"")"
Door,I.169,Do you want panel?,singleselect,Yes,No,,,No,C.141,"!(I.167 == ""2"")"
Door,I.170,Select the Active Door Leaf for Double-Wide Storefront Door,singleselect,Left Active,Right Active,,,No,C.142,"!(I.153 == ""2"")"
Door,I.103,Choose the location of the door,singleselect,Gable,Sidewall,,,No,,
Decoratives,I.131,Do you want Ridge Cresting on your Greenhouse,boolean,,,,,No,,
Decoratives,I.132,What type of Ridge Cresting do you want?,singleselect,Ridge Cresting with Finials,Only Finials,,,No,C.114,"!(I.131 == ""Yes"")"
Decoratives,I.133,Do you want Decorative Pressure Caps?,boolean,,,,,No,,
Decoratives,I.134,Do you want Gutters?,boolean,,,,,No,,
Decoratives,I.228,Select the type of Gutters,singleselect,Decorative Gutters,Tube Gutters,,,No,C.187,"!(I.134 == ""Yes"")"
Decoratives,I.135,Select the type of Decorative gutters you require,singleselect,Side Wall Gutters,Wrap around Gutters,,,No,C.188,"!(I.228 == ""1"")"
Decoratives,I.136,Do you want to upgrade to Double Stacked Side Walled Gutters?,boolean,,,,,No,C.116,"!(I.135 == ""1"")"
Decoratives,I.137,Do you want to upgrade to Double Stacked Wrap around Gutters?,boolean,,,,,No,C.117,"!(I.135 == ""2"")"
Decoratives,I.138,Do you want Tube Gutters?,boolean,,,,,No,C.189,"!(I.228 == ""2"")"
Decoratives,I.139,What type of Tube Gutters do you want?,singleselect,Side Wall Gutters,Wrap Around Gutters,,,No,C.118,"!(I.138 == ""Yes"")"
Decoratives,I.140,Do you want Base Panels (Only applicable if you don't have Kneewalls),boolean,,,,,No,,
Decoratives,I.301,Enter the preffered height of Base Panels,integer,,,,,No,C.270,"!(I.140 == ""1"")"
Decoratives,I.146,Do you want Wagon Wheel Decorations on your Greenhouse? (Only on Gable ends),singleselect,Yes,No,,,No,,
Decoratives,I.147,How many do you want to install?,singleselect,1,2,,,No,C.123,"!(I.146 == ""1"")"
Decoratives,I.148,Do you want Engineered Prints?,boolean,,,,,No,,
Decoratives,I.199,Do you require Stamped Engineered Prints?,boolean,,,,,No,C.158,"!(I.148 == ""Yes"")"
